"ID","NAME","PARENT_ID","URL","PICTUR_URL","STATUS","UUID","CODING","REMARK","CHILDROOT_EXIST","TREE_PATH","NUM","PROVINCE_CODE","RESOURCE_POOL_CODE","REDIRECT_PATH","IS_SHOW","ALIAS","COMPONENT"
"1862486633453644290","POC引擎管理","1460441510772027394","/safeLeak/VulnPOCEngine","solidIcon iconSecurity_threats","0",,"zonghefenxi",,"1",,"10",,,,"1","1862486633453644290","RouteView"
"1862487101085959938","度量场景管理","1862486631453622276","/safeLeak/VulnManage/1862487101085959938","solidIcon iconSecurity_threats","1",,"1862487101085959938",,"0",,"1",,,,"1","1862487101085959938","RouteView"
"1862487101185959938","度量场景实例管理","1862486631453622276","/safeLeak/VulnManage/1862487101185959938","solidIcon iconSecurity_threats","1",,"1862487101185959938",,"0",,"1",,,,"1","1862487101185959938","RouteView"
"1862487101285959938","度量评价分数管理","1862486631453622276","/safeLeak/VulnManage/1862487101285959938","solidIcon iconSecurity_threats","1",,"1862487101285959938",,"0",,"1",,,,"1","1862487101285959938","RouteView"
"1862487101385959938","度量评价指标管理","1862486631453622276","/safeLeak/VulnManage/1862487101385959938","solidIcon iconSecurity_threats","1",,"1862487101385959938",,"0",,"1",,,,"1","1862487101385959938","RouteView"
"1862487101485959938","度量评价权重管理","1862486631453622276","/safeLeak/VulnManage/1862487101485959938","solidIcon iconSecurity_threats","1",,"1862487101485959938",,"0",,"1",,,,"1","1862487101485959938","RouteView"
"1862487101585959938","度量评价分析引擎管理","1862486631453622276","/safeLeak/VulnManage/1862487101585959938","solidIcon iconSecurity_threats","1",,"1862487101585959938",,"0",,"1",,,,"1","1862487101585959938","RouteView"
"1862487101685959938","度量评价预警管理","1862486631453622276","/safeLeak/VulnManage/1862487101685959938","solidIcon iconSecurity_threats","1",,"1862487101685959938",,"0",,"1",,,,"1","1862487101685959938","RouteView"
"1862487101785959938","任务扫描策略管理","1862486631453622277","/safeLeak/VulnManage/1862487101785959938","solidIcon iconSecurity_threats","1",,"1862487101785959938",,"0",,"1",,,,"1","1862487101785959938","RouteView"
"1862487101885959938","任务结果管理","1862486631453622277","/safeLeak/VulnManage/1862487101885959938","solidIcon iconSecurity_threats","1",,"1862487101885959938",,"0",,"1",,,,"1","1862487101885959938","RouteView"
"1862487101985959938","外部接口编排管理","1862486631453622277","/safeLeak/VulnManage/1862487101985959938","solidIcon iconSecurity_threats","1",,"1862487101985959938",,"0",,"1",,,,"1","1862487101985959938","RouteView"
"1862487102085959938","策略联动管理","1862486631453622277","/safeLeak/VulnManage/1862487102085959938","solidIcon iconSecurity_threats","1",,"1862487102085959938",,"0",,"1",,,,"1","1862487102085959938","RouteView"
"1862487102185959938","POC引擎驱动管理","1862486631453622277","/safeLeak/VulnManage/1862487102185959938","solidIcon iconSecurity_threats","1",,"1862487102185959938",,"0",,"1",,,,"1","1862487102185959938","RouteView"
"1862487102285959938","产品漏洞解析管理","1862486631453622278","/safeLeak/VulnManage/1862487102285959938","solidIcon iconSecurity_threats","1",,"1862487102285959938",,"0",,"1",,,,"1","1862487102285959938","RouteView"
"1862487102385959938","数据源同源纠偏管理","1862486631453622278","/safeLeak/VulnManage/1862487102385959938","solidIcon iconSecurity_threats","1",,"1862487102385959938",,"0",,"1",,,,"1","1862487102385959938","RouteView"
"1862487102485959938","漏洞数据碰撞管理","1862486631453622278","/safeLeak/VulnManage/1862487102485959938","solidIcon iconSecurity_threats","1",,"1862487102485959938",,"0",,"1",,,,"1","1862487102485959938","RouteView"
"1862487102585959938","漏洞误报验证接口","1862486631453622279","/safeLeak/VulnInterfaceManage/1862487102585959938","solidIcon iconSecurity_threats","1",,"1862487102585959938",,"0",,"1",,,,"1","1862487102585959938","RouteView"
"1862487102685959938","EXP原理验证管理","1862486631453622279","/safeLeak/VulnManage/1862487102685959938","solidIcon iconSecurity_threats","1",,"1862487102685959938",,"0",,"1",,,,"1","1862487102685959938","RouteView"
"1862487102785959938","人工验证过程管理","1862486631453622279","/safeLeak/VulnManage/1862487102785959938","solidIcon iconSecurity_threats","1",,"1862487102785959938",,"0",,"1",,,,"1","1862487102785959938","RouteView"
"1862487102885959938","POC引擎验证管理","1862486631453622279","/safeLeak/VulnManage/1862487102885959938","solidIcon iconSecurity_threats","1",,"1862487102885959938",,"0",,"1",,,,"1","1862487102885959938","RouteView"
"1862487102985959938","漏洞误报材料管理","1862486631453622279","/safeLeak/VulnManage/1862487102985959938","solidIcon iconSecurity_threats","1",,"1862487102985959938",,"0",,"1",,,,"1","1862487102985959938","RouteView"
"1862487103085959938","漏洞误报审批管理","1862486631453622279","/safeLeak/VulnManage/1862487103085959938","solidIcon iconSecurity_threats","1",,"1862487103085959938",,"0",,"1",,,,"1","1862487103085959938","RouteView"
"1862487103185959938","漏洞误报流程管理","1862486631453622279","/safeLeak/VulnManage/1862487103185959938","solidIcon iconSecurity_threats","1",,"1862487103185959938",,"0",,"1",,,,"1","1862487103185959938","RouteView"
"1862487103285959938","修复优先级评级管理","1862486631453622279","/safeLeak/VulnManage/1862487103285959938","solidIcon iconSecurity_threats","1",,"1862487103285959938",,"0",,"1",,,,"1","1862487103285959938","RouteView"
"1862487109985900001","漏洞检测设备厂商管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900001","solidIcon iconSecurity_threats","1",,"1862487109985900001",,"0",,"1",,,,"1","A1","RouteView"
"1862487109985900002","漏洞检测设备型号管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900002","solidIcon iconSecurity_threats","1",,"1862487109985900002",,"0",,"1",,,,"1","A2","RouteView"
"1862487109985900003","漏洞检测设备版本管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900003","solidIcon iconSecurity_threats","1",,"1862487109985900003",,"0",,"1",,,,"1","A3","RouteView"
"1862487109985900004","漏洞检测设备状态管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900004","solidIcon iconSecurity_threats","1",,"1862487109985900004",,"0",,"1",,,,"1","A4","RouteView"
"1862487109985900005","漏洞检测设备插件管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900005","solidIcon iconSecurity_threats","1",,"1862487109985900005",,"0",,"1",,,,"1","A5","RouteView"
"1862487109985900006","POC引擎设备来源管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900006","solidIcon iconSecurity_threats","1",,"1862487109985900006",,"0",,"1",,,,"1","A6","RouteView"
"1862487109985900007","POC引擎设备型号管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900007","solidIcon iconSecurity_threats","1",,"1862487109985900007",,"0",,"1",,,,"1","A7","RouteView"
"1862487109985900008","POC引擎设备版本管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900008","solidIcon iconSecurity_threats","1",,"1862487109985900008",,"0",,"1",,,,"1","A8","RouteView"
"1862487109985900009","POC引擎设备状态管理","1862486631453622283","/safeLeak/VulnManage/1862487109985900009","solidIcon iconSecurity_threats","1",,"1862487109985900009",,"0",,"1",,,,"1","A9","RouteView"
"1862487109985900010","扫描计划配置日志","1862486631453622284","/safeLeak/VulnManage/1862487109985900010","solidIcon iconSecurity_threats","1",,"1862487109985900010",,"0",,"1",,,,"1","B1","RouteView"
"1862487109985900011","子任务下发配置日志","1862486631453622284","/safeLeak/VulnManage/1862487109985900011","solidIcon iconSecurity_threats","1",,"1862487109985900011",,"0",,"1",,,,"1","B2","RouteView"
"1862487109985900012","扫描计划子任务拆分日志","1862486631453622284","/safeLeak/VulnManage/1862487109985900012","solidIcon iconSecurity_threats","1",,"1862487109985900012",,"0",,"1",,,,"1","B3","RouteView"
"1862487109985900013","剧本URL管理","1862486631453622285","/safeLeak/VulnManage/1862487109985900013","solidIcon iconSecurity_threats","1",,"1862487109985900013",,"0",,"1",,,,"1","B4","RouteView"
"1862487109985900014","模板管理","1862486631453622285","/safeLeak/VulnManage/1862487109985900014","solidIcon iconSecurity_threats","1",,"1862487109985900014",,"0",,"1",,,,"1","B5","RouteView"
"1862487109985900015","合并节点管理","1862486631453622285","/safeLeak/VulnManage/1862487109985900015","solidIcon iconSecurity_threats","1",,"1862487109985900015",,"0",,"1",,,,"1","B6","RouteView"
"1862487109985900016","插件执行统计","1862486631453622285","/safeLeak/vulnViewManage/1862487109985900016","solidIcon iconSecurity_threats","1",,"1862487109985900016",,"0",,"1",,,,"1","B7","RouteView"
"1862487109985900017","触发器控制单元","1862486631453622286","/safeLeak/VulnInterfaceManage/1862487109985900017","solidIcon iconSecurity_threats","1",,"1862487109985900017",,"0",,"1",,,,"1","B8","RouteView"
"1862487109985900018","剧本验证策略","1862486631453622286","/safeLeak/VulnManage/1862487109985900018","solidIcon iconSecurity_threats","1",,"1862487109985900018",,"0",,"1",,,,"1","B9","RouteView"
"1862487109985900019","资源池管理","1862486631453622286","/safeLeak/VulnManage/1862487109985900019","solidIcon iconSecurity_threats","1",,"1862487109985900019",,"0",,"1",,,,"1","B10","RouteView"
"1862487109985900020","有向无环图引擎管理","1862486631453622286","/safeLeak/VulnManage/1862487109985900020","solidIcon iconSecurity_threats","1",,"1862487109985900020",,"0",,"1",,,,"1","B11","RouteView"
"1862487109985900021","有向无环图模板管理","1862486631453622286","/safeLeak/VulnManage/1862487109985900021","solidIcon iconSecurity_threats","1",,"1862487109985900021",,"0",,"1",,,,"1","B12","RouteView"
